Trust Code,Trust Name,Commissioning Region,Trust Type,Site Code,Site Name,Post Code,Integrated Care Board,Local Authority,Site Type,Incineration (clinical waste) cost (£),Incineration (clinical waste) weight (Tonnes),Alternative Treatment (clinical waste) cost (£),Alternative Treatment (clinical waste) weight (Tonnes),Offensive waste cost (£),Offensive waste weight (Tonnes),Clinical waste (excluding incineration) processed on site cost (£),Clinical waste (excluding incineration) processed on site weight (Tonnes),Clinical waste processed at municipal waste plants cost (£),Clinical waste processed at municipal waste plants weight (Tonnes)
RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,C8M8V,SHRUBLANDS HOUSE,TQ2 5RS,NHS DEVON ICB,TORBAY COUNCIL,Non inpatient,163,0.01,145,0.03,132,0.02,0,0,0,0
RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,G9K8X,SHERBORNE HOUSE,TQ12 2PF,NHS DEVON ICB,DEVON COUNTY COUNCIL,Non inpatient,0,0,0,0,555,0.3,0,0,0,0
RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,Q6Z8C,DARTMOUTH HEALTH & WELLBEING CENTRE,TQ6 0JL,NHS DEVON ICB,DEVON COUNTY COUNCIL,Non inpatient,380,0.15,667,0.49,227,0.25,0,0,0,0
RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,RA901,TORBAY DISTRICT GENERAL HOSPITAL,TQ2 7AA,NHS DEVON ICB,TORBAY COUNCIL,General acute hospital,202667,160.18,101910,206.38,84120,299.9,0,0,0,0
RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,RA905,REGENT HOUSE,TQ2 7AN,NHS DEVON ICB,TORBAY COUNCIL,Non inpatient,0,0,0,0,0,0,0,0,0,0
RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,RA906,ST EDMUNDS,TQ1 3QH,NHS DEVON ICB,TORBAY COUNCIL,Non inpatient,1017,0.16,0,0,0,0,0,0,0,0
RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,RA90J,CASTLE CIRCUS HEALTH CENTRE,TQ2 7AJ,NHS DEVON ICB,TORBAY COUNCIL,Non inpatient,1846,0.22,1977,2.6,0,0,0,0,0,0
RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,RA949,"UNIT 7, LONG ROAD",TQ4 7HP,NHS DEVON ICB,TORBAY COUNCIL,Non inpatient,0,0,0,0,0,0,0,0,0,0
RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,RA952,ASHBURTON AND BUCKFASTLEIGH HOSPITAL,TQ13 7AP,NHS DEVON ICB,DEVON COUNTY COUNCIL,Non inpatient,358,0.11,779,0.09,474,2.92,0,0,0,0
RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,RA954,BRIXHAM HOSPITAL,TQ5 9HW,NHS DEVON ICB,TORBAY COUNCIL,Community hospital (with inpatient beds),1480,0.36,1499,2.01,3235,6.6,0,0,0,0
