Trust Code,Trust Name,Commissioning Region,Trust Type,Site Code,Site Name,Post Code,Latitude,Longitude,Nearest Waste Site,Nearest Site Category,Distance,Within 45 Mins?
R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - TEACHING,F2I8O,ST MARYS HOSPITAL,BH15 2LG,50.722364,-1.974271,Canford Recycling Centre,Treatment,10.1 km,Yes
R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - TEACHING,R0D01,POOLE HOSPITAL,BH15 2JB,50.721977,-1.97311,Canford Recycling Centre,Treatment,9.7 km,Yes
R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - TEACHING,R0D02,ROYAL BOURNEMOUTH HOSPITAL,BH7 7DW,50.747472,-1.820512,Canford Recycling Centre,Treatment,11.2 km,Yes
R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - TEACHING,R0D03,CHRISTCHURCH HOSPITAL,BH23 2JX,50.745155,-1.790148,Canford Recycling Centre,Treatment,15.7 km,Yes
R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - TEACHING,R0D0H,SSD ALDERNEY COMMUNITY HOSPITAL,BH12 4NB,50.749698,-1.940974,Canford Recycling Centre,Treatment,5.7 km,Yes
RA7,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - TEACHING,RA701,BRISTOL ROYAL INFIRMARY,BS2 8HW,51.459182,-2.59614,Clinipower Avonmouth L L P,Treatment,10.0 km,Yes
RA7,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - TEACHING,RA773,SOUTH BRISTOL COMMUNITY HOSPITAL,BS14 0DE,51.413399,-2.584902,Avonmouth Treatment Centre  EPR/KP3937DU,Incineration,16.7 km,Yes
RA7,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - TEACHING,RA7C2,WESTON GENERAL HOSPITAL,BS23 4TQ,51.322331,-2.971405,Walpole Recovery Facility and Landfill Site - EPR/BK6785IE,Landfill,23.0 km,Yes
RA7,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - TEACHING,RA7CH,CENTRAL HEALTH CLINIC SITE,BS2 0JD,51.454434,-2.585529,Avonmouth Treatment Centre  EPR/KP3937DU,Incineration,14.5 km,Yes
RA7,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - TEACHING,RA7ORS,OTHER REPORTABLE SITES,BS1 3NU,51.459476,-2.593021,Clinipower Avonmouth L L P,Treatment,10.5 km,Yes
