Cluster,Latitude,Longitude,Incin_Waste,AT_Waste,Total_Waste,Facility_Count
0,50.667046125,-2.454200375,68.24,431.31000000000006,499.55,8
1,50.20323952631579,-5.248867842105263,1215.95,51.46,1267.41,19
2,51.065526,-4.082112700000001,160.4,230.87,391.27,10
3,51.5871038125,-1.797618375,63.489999999999995,634.2299999999999,697.7199999999999,16
4,51.735386285714284,-2.2361557142857142,15.97,40.5,56.47,7
5,50.417134,-4.750695875,43.46,34.97,78.43,8
6,51.4706799047619,-2.565904523809524,1014.65,1511.0,2525.65,21
7,51.3743696,-2.3967144,240.64,589.35,829.99,5
8,51.0179238,-3.1149229000000003,99.32,485.96,585.28,10
9,51.27111222222222,-2.9551076666666667,48.96,231.92,280.88,9
10,51.8958315,-2.0761922999999998,73.23,242.56,315.79,10
11,50.76138421428571,-1.957509142857143,216.31,1188.59,1404.9,28
12,50.888212555555555,-2.7890986666666664,40.47,349.33,389.8,9
13,51.865817142857146,-2.230668,170.36,614.6400000000001,785.0000000000001,7
14,51.86272759999999,-2.2482256,2.16,12.57,14.73,5
15,50.41575744444444,-4.116454,1243.6,209.97,1453.5700000000002,9
16,50.4195288,-4.0906286000000005,34.58,5.81,40.39,5
17,50.5960936,-3.449555,1.75,20.700000000000003,22.450000000000003,5
18,50.46649615789474,-3.566100421052632,193.32,540.8,734.12,19
19,50.7210935,-3.471524125,35.93,130.85000000000002,166.78,8
20,50.717904250000004,-3.5105773333333334,813.05,13.0,826.05,12
