Trust Code,Trust Name,Commissioning Region,Trust Type,Site Code,Site Name,Post Code,Integrated Care Board,Local Authority,Site Type,Incineration (clinical waste) cost (£),Incineration (clinical waste) weight (Tonnes),Alternative Treatment (clinical waste) cost (£),Alternative Treatment (clinical waste) weight (Tonnes),Offensive waste cost (£),Offensive waste weight (Tonnes),Clinical waste (excluding incineration) processed on site cost (£),Clinical waste (excluding incineration) processed on site weight (Tonnes),Clinical waste processed at municipal waste plants cost (£),Clinical waste processed at municipal waste plants weight (Tonnes),Latitude,Longitude,Incin_Waste,AT_Waste,Total_Waste,Cluster
R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - TEACHING,F2I8O,ST MARYS HOSPITAL,BH15 2LG,NHS DORSET ICB,BCP COUNCIL,Specialist hospital (acute only),6513,6.9,9013,18.47,11957,37.96,0,0,0,0,50.722364,-1.974271,6.9,56.43,63.33,11
R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - TEACHING,R0D01,POOLE HOSPITAL,BH15 2JB,NHS DORSET ICB,BCP COUNCIL,General acute hospital,90534,91.08,85527,175.26,79215,303.67,0,0,0,0,50.721977,-1.97311,91.08,478.93,570.01,11
R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - TEACHING,R0D02,ROYAL BOURNEMOUTH HOSPITAL,BH7 7DW,NHS DORSET ICB,BCP COUNCIL,General acute hospital,86538,96.26,180363,434.61,24174,90.26,0,0,0,0,50.747472,-1.820512,96.26,524.87,621.13,11
R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - TEACHING,R0D03,CHRISTCHURCH HOSPITAL,BH23 2JX,NHS DORSET ICB,BCP COUNCIL,Community hospital (with inpatient beds),3030,3.37,1021,2.46,2167,6.88,0,0,0,0,50.745155,-1.790148,3.37,9.34,12.71,11
R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - TEACHING,R0D0H,SSD ALDERNEY COMMUNITY HOSPITAL,BH12 4NB,NHS DORSET ICB,BCP COUNCIL,Non inpatient,101,0.1,8788,18.02,0,0.0,0,0,0,0,50.749698,-1.940974,0.1,18.02,18.12,11
RA7,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - TEACHING,RA701,BRISTOL ROYAL INFIRMARY,BS2 8HW,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE ICB",BRISTOL CITY COUNCIL,General acute hospital,441833,480.77,160721,281.85,136116,349.36,0,0,0,0,51.459182,-2.59614,480.77,631.21,1111.98,6
RA7,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - TEACHING,RA773,SOUTH BRISTOL COMMUNITY HOSPITAL,BS14 0DE,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE ICB",BRISTOL CITY COUNCIL,Community hospital (with inpatient beds),12259,4.63,8349,10.16,13865,31.73,0,0,0,0,51.413399,-2.584902,4.63,41.89,46.52,6
RA7,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - TEACHING,RA7C2,WESTON GENERAL HOSPITAL,BS23 4TQ,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE ICB",NORTH SOMERSET COUNCIL,General acute hospital,39479,44.37,21045,42.3,62485,157.58,0,0,0,0,51.322331,-2.971405,44.37,199.88,244.25,9
RA7,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - TEACHING,RA7CH,CENTRAL HEALTH CLINIC SITE,BS2 0JD,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE ICB",BRISTOL CITY COUNCIL,Non inpatient,1174,1.35,625,1.21,1274,3.22,0,0,0,0,51.454434,-2.585529,1.35,4.43,5.779999999999999,6
RA7,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - TEACHING,RA7ORS,OTHER REPORTABLE SITES,BS1 3NU,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE ICB",BRISTOL CITY COUNCIL,Other Reportable Site,0,0.0,0,0.0,0,0.0,0,0,14,0.05,51.459476,-2.593021,0.0,0.0,0.0,6
RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,C8M8V,SHRUBLANDS HOUSE,TQ2 5RS,NHS DEVON ICB,TORBAY COUNCIL,Non inpatient,163,0.01,145,0.03,132,0.02,0,0,0,0,50.469058,-3.535982,0.01,0.05,0.060000000000000005,18
