Facility RPA,Site Name,Facility WPA,Waste Code,Fate,Tonnes Received,R and D code,Compliance Status
South West,Avonmouth Treatment Centre  EPR/KP3937DU,Bristol City,18 01 01,Recovery,0.04,R13,COMPLIANT
South West,Avonmouth Treatment Centre  EPR/KP3937DU,Bristol City,18 01 01,Recovery,0.2,R13,COMPLIANT
South West,Avonmouth Treatment Centre  EPR/KP3937DU,Bristol City,18 01 09,Recovery,2.17,R13,COMPLIANT
South West,Avonmouth Treatment Centre  EPR/KP3937DU,Bristol City,18 01 07,Recovery,1.0,R13,COMPLIANT
South West,Avonmouth Treatment Centre  EPR/KP3937DU,Bristol City,18 01 09,Recovery,0.2,R13,COMPLIANT
South West,Avonmouth Treatment Centre  EPR/KP3937DU,Bristol City,18 01 01,Recovery,0.02,R13,COMPLIANT
South West,Avonmouth Treatment Centre  EPR/KP3937DU,Bristol City,18 01 06*,Recovery,0.73,R13,COMPLIANT
South West,Avonmouth Treatment Centre  EPR/KP3937DU,Bristol City,18 01 06*,Recovery,0.03,R13,COMPLIANT
South West,Avonmouth Treatment Centre  EPR/KP3937DU,Bristol City,18 01 07,Recovery,0.21,R13,COMPLIANT
South West,Avonmouth Treatment Centre  EPR/KP3937DU,Bristol City,18 01 01,Recovery,0.26,R13,COMPLIANT
South West,Avonmouth Treatment Centre  EPR/KP3937DU,Bristol City,18 01 06*,Recovery,0.26,R13,COMPLIANT
South West,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,Bristol City,18 01 08*,Incineration,0.031,D10,COMPLIANT
South West,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,Bristol City,18 01 03*,Incineration,4.603,D10,COMPLIANT
South West,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,Bristol City,18 01 09,Incineration,2.155,D10,COMPLIANT
South West,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,Bristol City,18 01 08*,Incineration,17.851,D10,COMPLIANT
South West,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,Bristol City,18 01 03*,Incineration,287.588,D10,COMPLIANT
South West,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,Bristol City,18 01 09,Incineration,29.665,D10,COMPLIANT
South West,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,Bristol City,18 01 04,Incineration,1.362,D10,COMPLIANT
South West,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,Bristol City,18 01 10*,Recovery,0.028,R13,COMPLIANT
South West,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,Bristol City,18 01 04,Recovery,7.353,R13,COMPLIANT
South West,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,Bristol City,18 01 10*,Recovery,0.023,R13,COMPLIANT
South West,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,Bristol City,18 01 04,Recovery,89.303,R13,COMPLIANT
South West,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,Bristol City,18 01 06*,Incineration,0.054,D10,COMPLIANT
South West,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,Bristol City,18 01 08*,Incineration,63.43,D10,COMPLIANT
South West,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,Bristol City,18 01 03*,Incineration,1343.911,D10,COMPLIANT
South West,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,Bristol City,18 01 02,Incineration,0.998,D10,COMPLIANT
South West,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,Bristol City,18 01 09,Incineration,95.021,D10,COMPLIANT
South West,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,Bristol City,18 01 04,Incineration,5.97,D10,COMPLIANT
South West,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,Bristol City,18 01 08*,Incineration,4.096,D10,COMPLIANT
South West,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,Bristol City,18 01 03*,Incineration,149.441,D10,COMPLIANT
South West,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,Bristol City,18 01 02,Incineration,0.136,D10,COMPLIANT
South West,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,Bristol City,18 01 09,Incineration,11.99,D10,COMPLIANT
South West,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,Bristol City,18 01 04,Incineration,0.641,D10,COMPLIANT
South West,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,Bristol City,18 01 10*,Recovery,0.29,R13,COMPLIANT
South West,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,Bristol City,18 01 04,Recovery,475.879,R13,COMPLIANT
South West,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,Bristol City,18 01 04,Recovery,107.288,R13,COMPLIANT
South West,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,Bristol City,18 01 03*,Incineration,0.127,D10,COMPLIANT
South West,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,Bristol City,18 01 03*,Incineration,0.042,D10,COMPLIANT
South West,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,Bristol City,18 01 03*,Incineration,0.748,D10,COMPLIANT
South West,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,Bristol City,18 01 08*,Incineration,0.038,D10,COMPLIANT
South West,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,Bristol City,18 01 03*,Incineration,0.789,D10,COMPLIANT
South West,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,Bristol City,18 01 08*,Incineration,0.003,D10,COMPLIANT
South West,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,Bristol City,18 01 03*,Incineration,5.805,D10,COMPLIANT
South West,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,Bristol City,18 01 09,Incineration,0.476,D10,COMPLIANT
South West,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,Bristol City,18 01 03*,Incineration,1.939,D10,COMPLIANT
South West,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,Bristol City,18 01 09,Incineration,0.146,D10,COMPLIANT
South West,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,Bristol City,18 01 04,Recovery,2.011,R13,COMPLIANT
South West,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,Bristol City,18 01 04,Recovery,0.699,R13,COMPLIANT
South West,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,Bristol City,18 01 08*,Incineration,0.259,D10,COMPLIANT
South West,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,Bristol City,18 01 03*,Incineration,23.117,D10,COMPLIANT
South West,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,Bristol City,18 01 09,Incineration,0.229,D10,COMPLIANT
South West,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,Bristol City,18 01 08*,Incineration,0.074,D10,COMPLIANT
South West,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,Bristol City,18 01 03*,Incineration,6.469,D10,COMPLIANT
